Unmatched Entity,Frequency
europe,14
berlin,10
atlantic,9
new york,7
allies,7
pacific,5
moscow,5
west,4
paris,4
nagasaki,4
hiroshima,3
the middle east,3
eastern europe,3
asia,3
stalingrad,3
nazi germany,2
tokyo,2
the united kingdom,2
new guinea,2
hong kong,2
manchuria,2
north,2
the pacific islands,2
indochina,2
south,2
colin,2
pong,2
guam,2
east,2
daniel,2
western europe,2
eastern poland,2
battle,2
m.v.,1
west nile virus:,1
toronto,1
catherwood,1
between germany,1
signed,1
keegan,1
fraser,1
goldstein,1
hongkiat,1
freedom,1
murphy,1
new orleans,1
north africa campaign,1
alfredo,1
the american states during,1
charlottesville,1
u.s.s.r.,1
serwadda,1
stalin,1
marks,1
carruthers,1
wylie,1
kagaayi,1
neville,1
saunders,1
joseph,1
alpes,1
battle of britain,1
middleton,1
politico,1
ghooi,1
kellaway,1
stack,1
hall,1
burgess,1
saigon,1
michaels,1
venus,1
sharp,1
underdog,1
schultz,1
zelizer,1
egorov,1
boston,1
gravel,1
kinzer,1
new york: psychology press,1
hasic,1
winston,1
2561â€“2567,1
churchill,1
portuguese africa,1
assensoh,1
henderson,1
parker,1
poole,1
sandford,1
antonia,1
blumberg,1
nuremberg,1
keldysh,1
virginia,1
east germany,1
data,1
the south manchuria railway,1
rome,1
omaha beach,1
v-2,1
the netherlands,1
crimea,1
eva braun.[92,1
shanghai,1
brosnan,1
nanjing,1
chongqing,1
changsha,1
guangxi,1
malaya,1
bali,1
hawaii,1
tobruk,1
saint petersburg,1
leningrad,1
sea lion.[61,1
the low countries,1
general francisco franco,1
the soviet union's,1
austro-hungarian empire,1
lives.[9,1
the ottoman empire,1
tsar,1
empire,1
the russian empire,1
british empire,1
young bosnia,1
sarajevo,1
the far east,1
the united states.[110,1
south-east asia,1
budapest,1
wilde,1
oklahoma city,1
the people's republic,1
east berlin,1
south vietnam[202,1
north and south,1
korea,1
koreas,1
north korea's,1
the korean peninsula,1
the panama canal,1
sofia,1
bucharest,1
belgrade,1
vienna,1
power.[115,1
prague,1
warsaw,1
continent,1
the people's republic of bangladesh,1
san francisco.[172,1
west germany,1
new mexico,1
los alamos,1
wannsee,1
einsatzgruppen,1
buchenwald,1
potsdam,1
borneo,1
iwo jima,1
mobile,1
